Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,DNSMOS_mos_ovr,PESQ,STOI,SI_SDR
mband_log_N8_F8_O25_FL0p5,log,8,8,25,0.5,1,3.1229,1.5557,0.7449,8.7315
mband_log_N8_F8_O25_FL0p7,log,8,8,25,0.7,1,2.8911,1.4866,0.7477,8.8883
mband_log_N8_F8_O25_FL0p8,log,8,8,25,0.8,1,2.7093,1.4046,0.7662,8.487
mband_log_N8_F8_O50_FL0p5,log,8,8,50,0.5,1,2.9753,1.4283,0.7476,8.9852
mband_log_N8_F8_O50_FL0p7,log,8,8,50,0.7,1,3.1183,1.4333,0.7205,8.7656
mband_log_N8_F8_O50_FL0p8,log,8,8,50,0.8,1,3.2237,1.436,0.7493,9.1668
mband_log_N8_F8_O75_FL0p5,log,8,8,75,0.5,1,2.7896,1.4648,0.7448,8.9772
mband_log_N8_F8_O75_FL0p7,log,8,8,75,0.7,1,2.8919,1.4362,0.7518,8.9553
mband_log_N8_F8_O75_FL0p8,log,8,8,75,0.8,1,2.7793,1.406,0.7568,8.905
mband_mel_N16_F20_O25_FL0p5,mel,16,20,25,0.5,1,3.1518,1.5247,0.7417,7.5932
mband_mel_N16_F20_O25_FL0p7,mel,16,20,25,0.7,1,3.2609,1.4479,0.7321,8.057
mband_mel_N16_F20_O25_FL0p8,mel,16,20,25,0.8,1,3.3912,1.4192,0.7473,8.1647
mband_mel_N16_F20_O50_FL0p5,mel,16,20,50,0.5,1,3.2732,1.5057,0.7232,9.0547
mband_mel_N16_F20_O50_FL0p7,mel,16,20,50,0.7,1,3.0835,1.5883,0.7304,8.9803
mband_mel_N16_F20_O50_FL0p8,mel,16,20,50,0.8,1,3.418,1.3928,0.7444,8.9207
mband_mel_N16_F20_O75_FL0p5,mel,16,20,75,0.5,1,3.0148,1.4848,0.7428,9.0884
mband_mel_N16_F20_O75_FL0p7,mel,16,20,75,0.7,1,2.6573,1.4647,0.7395,9.3835
mband_mel_N16_F20_O75_FL0p8,mel,16,20,75,0.8,1,3.1406,1.4537,0.7371,9.4037
mband_mel_N16_F25_O25_FL0p5,mel,16,25,25,0.5,1,3.3126,1.3788,0.7504,7.2159
mband_mel_N16_F25_O25_FL0p7,mel,16,25,25,0.7,1,3.1032,1.4494,0.7576,7.6056
mband_mel_N16_F25_O25_FL0p8,mel,16,25,25,0.8,1,3.3672,1.3217,0.7436,7.2556
mband_mel_N16_F25_O50_FL0p5,mel,16,25,50,0.5,1,3.522,1.5312,0.7369,8.2928
mband_mel_N16_F25_O50_FL0p7,mel,16,25,50,0.7,1,3.2535,1.455,0.7501,8.8048
mband_mel_N16_F25_O50_FL0p8,mel,16,25,50,0.8,1,3.314,1.4037,0.722,8.5045
mband_mel_N16_F25_O75_FL0p5,mel,16,25,75,0.5,1,2.9988,1.4135,0.7581,9.4853
mband_mel_N16_F25_O75_FL0p7,mel,16,25,75,0.7,1,3.3485,1.5331,0.7421,9.3607
mband_mel_N16_F25_O75_FL0p8,mel,16,25,75,0.8,1,2.8681,1.4569,0.7482,9.4196
mband_mel_N16_F8_O25_FL0p5,mel,16,8,25,0.5,1,3.2607,1.4393,0.7335,8.9951
mband_mel_N16_F8_O25_FL0p7,mel,16,8,25,0.7,1,3.1425,1.4703,0.7326,9.0731
mband_mel_N16_F8_O25_FL0p8,mel,16,8,25,0.8,1,3.143,1.4332,0.7433,8.5547
mband_mel_N16_F8_O50_FL0p5,mel,16,8,50,0.5,1,2.9419,1.4424,0.758,8.5871
mband_mel_N16_F8_O50_FL0p7,mel,16,8,50,0.7,1,3.0986,1.4284,0.728,9.0987
mband_mel_N16_F8_O50_FL0p8,mel,16,8,50,0.8,1,3.3856,1.4473,0.7583,9.0993
mband_mel_N16_F8_O75_FL0p5,mel,16,8,75,0.5,1,3.0337,1.4801,0.7467,9.5051
mband_mel_N16_F8_O75_FL0p7,mel,16,8,75,0.7,1,3.0264,1.4242,0.7436,9.0624
mband_mel_N16_F8_O75_FL0p8,mel,16,8,75,0.8,1,2.6995,1.5479,0.7485,9.457
mband_mel_N4_F20_O25_FL0p5,mel,4,20,25,0.5,1,3.1344,1.4462,0.7215,7.6605
mband_mel_N4_F20_O25_FL0p7,mel,4,20,25,0.7,1,3.3235,1.4824,0.7343,7.6086
mband_mel_N4_F20_O25_FL0p8,mel,4,20,25,0.8,1,2.986,1.4338,0.7475,8.0838
mband_mel_N4_F20_O50_FL0p5,mel,4,20,50,0.5,1,3.112,1.4861,0.7338,8.8047
mband_mel_N4_F20_O50_FL0p7,mel,4,20,50,0.7,1,2.9374,1.4993,0.7536,9.2326
mband_mel_N4_F20_O50_FL0p8,mel,4,20,50,0.8,1,3.4554,1.5141,0.7388,8.9055
mband_mel_N4_F20_O75_FL0p5,mel,4,20,75,0.5,1,3.0551,1.5623,0.7555,9.0424
mband_mel_N4_F20_O75_FL0p7,mel,4,20,75,0.7,1,2.8467,1.4592,0.7396,9.3035
mband_mel_N4_F20_O75_FL0p8,mel,4,20,75,0.8,1,2.6225,1.5052,0.7404,9.4921
mband_mel_N4_F25_O25_FL0p5,mel,4,25,25,0.5,1,3.4707,1.4714,0.7183,7.0807
mband_mel_N4_F25_O25_FL0p7,mel,4,25,25,0.7,1,3.1121,1.5052,0.7333,7.4982
mband_mel_N4_F25_O25_FL0p8,mel,4,25,25,0.8,1,3.2136,1.4139,0.744,7.281
mband_mel_N4_F25_O50_FL0p5,mel,4,25,50,0.5,1,3.0089,1.4448,0.7614,8.5596
mband_mel_N4_F25_O50_FL0p7,mel,4,25,50,0.7,1,3.1688,1.4405,0.7324,8.5361
mband_mel_N4_F25_O50_FL0p8,mel,4,25,50,0.8,1,3.282,1.4638,0.7402,9.0137
mband_mel_N4_F25_O75_FL0p5,mel,4,25,75,0.5,1,3.2097,1.4894,0.7414,9.315
mband_mel_N4_F25_O75_FL0p7,mel,4,25,75,0.7,1,2.953,1.4449,0.7307,9.3013
mband_mel_N4_F25_O75_FL0p8,mel,4,25,75,0.8,1,3.3607,1.4934,0.7398,9.0412
mband_mel_N4_F8_O25_FL0p5,mel,4,8,25,0.5,1,2.9342,1.4902,0.7548,8.7754
mband_mel_N4_F8_O25_FL0p7,mel,4,8,25,0.7,1,3.1773,1.454,0.7521,8.904
mband_mel_N4_F8_O25_FL0p8,mel,4,8,25,0.8,1,3.129,1.4275,0.7329,8.6891
mband_mel_N4_F8_O50_FL0p5,mel,4,8,50,0.5,1,2.9099,1.4788,0.7425,8.5557
mband_mel_N4_F8_O50_FL0p7,mel,4,8,50,0.7,1,2.7883,1.4512,0.7377,9.1851
mband_mel_N4_F8_O50_FL0p8,mel,4,8,50,0.8,1,3.3987,1.4635,0.7313,8.9895
mband_mel_N4_F8_O75_FL0p5,mel,4,8,75,0.5,1,2.8354,1.432,0.7402,9.6578
mband_mel_N4_F8_O75_FL0p7,mel,4,8,75,0.7,1,2.9765,1.3879,0.7389,8.8788
mband_mel_N4_F8_O75_FL0p8,mel,4,8,75,0.8,1,3.2334,1.4241,0.7436,9.6277
mband_mel_N8_F20_O25_FL0p5,mel,8,20,25,0.5,1,3.2269,1.4655,0.7513,7.9357
mband_mel_N8_F20_O25_FL0p7,mel,8,20,25,0.7,1,3.1724,1.3497,0.7412,7.7191
