Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,Objective_Score,Subjective_Score,Balanced_Score,PESQ,STOI,SI_SDR,DNSMOS_mos_ovr
mband_linear_N8_F8_O50_FL0p001,linear,8,8,50,0.001,1,0.5223,0.4801,0.5012,1.5642,0.7152,8.0022,2.4003
mband_linear_N8_F8_O50_FL0p02,linear,8,8,50,0.02,1,0.5242,0.5086,0.5164,1.5554,0.7229,8.2077,2.5432
mband_linear_N8_F8_O50_FL0p2,linear,8,8,50,0.2,1,0.5114,0.5354,0.5234,1.4681,0.7237,7.4322,2.6769
mband_linear_N8_F8_O75_FL0p001,linear,8,8,75,0.001,1,0.5189,0.4812,0.5001,1.5567,0.7094,7.7863,2.4061
mband_linear_N8_F8_O75_FL0p02,linear,8,8,75,0.02,1,0.5199,0.4912,0.5056,1.5416,0.7183,7.8345,2.4561
mband_linear_N8_F8_O75_FL0p2,linear,8,8,75,0.2,1,0.5116,0.5308,0.5212,1.4655,0.726,7.3658,2.6539
mband_log_N16_F20_O25_FL0p001,log,16,20,25,0.001,1,0.5191,0.5502,0.5346,1.5852,0.7111,6.6784,2.7508
mband_log_N16_F20_O25_FL0p02,log,16,20,25,0.02,1,0.5171,0.5716,0.5444,1.5661,0.7124,6.6283,2.8582
mband_log_N16_F20_O25_FL0p2,log,16,20,25,0.2,1,0.503,0.5979,0.5505,1.4472,0.7209,5.9325,2.9896
mband_log_N16_F20_O50_FL0p001,log,16,20,50,0.001,1,0.5387,0.552,0.5453,1.6903,0.7188,8.0604,2.7599
mband_log_N16_F20_O50_FL0p02,log,16,20,50,0.02,1,0.5373,0.5761,0.5567,1.6703,0.7232,7.9628,2.8805
mband_log_N16_F20_O50_FL0p2,log,16,20,50,0.2,1,0.5149,0.5807,0.5478,1.5,0.7253,7.1944,2.9036
mband_log_N16_F20_O75_FL0p001,log,16,20,75,0.001,1,0.5443,0.5161,0.5302,1.7113,0.7235,8.5718,2.5803
mband_log_N16_F20_O75_FL0p02,log,16,20,75,0.02,1,0.5377,0.5142,0.5259,1.6792,0.7186,8.1936,2.5708
mband_log_N16_F20_O75_FL0p2,log,16,20,75,0.2,1,0.5199,0.5522,0.536,1.5162,0.7289,7.7707,2.761
mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,0.5092,0.5885,0.5488,1.512,0.7105,6.3937,2.9424
mband_log_N16_F25_O25_FL0p02,log,16,25,25,0.02,1,0.5098,0.5818,0.5458,1.5045,0.7149,6.4237,2.9092
mband_log_N16_F25_O25_FL0p2,log,16,25,25,0.2,1,0.4929,0.5872,0.5401,1.3896,0.7148,5.517,2.9361
mband_log_N16_F25_O50_FL0p001,log,16,25,50,0.001,1,0.5361,0.5848,0.5605,1.6678,0.7218,7.8309,2.9241
mband_log_N16_F25_O50_FL0p02,log,16,25,50,0.02,1,0.5325,0.592,0.5623,1.6416,0.7219,7.689,2.9601
mband_log_N16_F25_O50_FL0p2,log,16,25,50,0.2,1,0.5121,0.578,0.5451,1.4888,0.7244,6.8272,2.8902
mband_log_N16_F25_O75_FL0p001,log,16,25,75,0.001,1,0.5468,0.5462,0.5465,1.7224,0.7247,8.824,2.7309
mband_log_N16_F25_O75_FL0p02,log,16,25,75,0.02,1,0.5397,0.5551,0.5474,1.6699,0.7254,8.5153,2.7757
mband_log_N16_F25_O75_FL0p2,log,16,25,75,0.2,1,0.5187,0.5664,0.5426,1.5144,0.7268,7.6837,2.8321
mband_log_N16_F8_O25_FL0p001,log,16,8,25,0.001,1,0.5096,0.5063,0.508,1.5101,0.7065,6.9358,2.5315
mband_log_N16_F8_O25_FL0p02,log,16,8,25,0.02,1,0.5103,0.4997,0.505,1.4883,0.7155,7.1007,2.4983
mband_log_N16_F8_O25_FL0p2,log,16,8,25,0.2,1,0.5018,0.56,0.5309,1.4172,0.7211,6.6208,2.7999
mband_log_N16_F8_O50_FL0p001,log,16,8,50,0.001,1,0.523,0.4892,0.5061,1.6003,0.7102,7.3688,2.4462
mband_log_N16_F8_O50_FL0p02,log,16,8,50,0.02,1,0.5242,0.5043,0.5143,1.5838,0.7187,7.5702,2.5217
mband_log_N16_F8_O50_FL0p2,log,16,8,50,0.2,1,0.5146,0.5397,0.5272,1.4944,0.7269,7.1497,2.6987
mband_log_N16_F8_O75_FL0p001,log,16,8,75,0.001,1,0.5242,0.4606,0.4924,1.5987,0.7125,7.5752,2.3028
mband_log_N16_F8_O75_FL0p02,log,16,8,75,0.02,1,0.5233,0.507,0.5152,1.5863,0.7127,7.7383,2.5352
mband_log_N16_F8_O75_FL0p2,log,16,8,75,0.2,1,0.5117,0.5338,0.5227,1.4827,0.7224,7.1117,2.6689
mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,0.5146,0.5603,0.5374,1.5599,0.7063,6.6517,2.8013
mband_log_N4_F20_O25_FL0p02,log,4,20,25,0.02,1,0.5159,0.5821,0.549,1.5563,0.7107,6.7721,2.9105
mband_log_N4_F20_O25_FL0p2,log,4,20,25,0.2,1,0.5007,0.5853,0.543,1.4275,0.7213,5.901,2.9265
mband_log_N4_F20_O50_FL0p001,log,4,20,50,0.001,1,0.5338,0.5334,0.5336,1.6583,0.7154,8.0682,2.6668
mband_log_N4_F20_O50_FL0p02,log,4,20,50,0.02,1,0.5325,0.5443,0.5384,1.6437,0.7186,7.9037,2.7215
