config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N8_F8_O25_FL0p8,61.61596894264221,hybrid,mel,8,8,25,3,0.8,1,1
mband_mel_N8_F8_O50_FL0p001,74.81376647949219,hybrid,mel,8,8,50,1,0.001,1,1
mband_mel_N8_F8_O50_FL0p3,75.62446761131287,hybrid,mel,8,8,50,1,0.3,1,1
mband_mel_N8_F8_O50_FL0p5,73.9625039100647,hybrid,mel,8,8,50,1,0.5,1,1
mband_mel_N8_F8_O50_FL0p7,74.20006060600281,hybrid,mel,8,8,50,1,0.7,1,1
mband_mel_N8_F8_O50_FL0p8,75.56049227714539,hybrid,mel,8,8,50,1,0.8,1,1
mband_mel_N8_F8_O50_FL0p001,75.54747152328491,hybrid,mel,8,8,50,3,0.001,1,1
mband_mel_N8_F8_O50_FL0p3,72.74391317367554,hybrid,mel,8,8,50,3,0.3,1,1
mband_mel_N8_F8_O50_FL0p5,75.37292504310608,hybrid,mel,8,8,50,3,0.5,1,1
mband_mel_N8_F8_O50_FL0p7,73.11790323257446,hybrid,mel,8,8,50,3,0.7,1,1
mband_mel_N8_F8_O50_FL0p8,72.30310821533203,hybrid,mel,8,8,50,3,0.8,1,1
mband_mel_N8_F8_O75_FL0p001,110.38448405265808,hybrid,mel,8,8,75,1,0.001,1,1
mband_mel_N8_F8_O75_FL0p3,109.52629494667053,hybrid,mel,8,8,75,1,0.3,1,1
mband_mel_N8_F8_O75_FL0p5,109.96177697181702,hybrid,mel,8,8,75,1,0.5,1,1
mband_mel_N8_F8_O75_FL0p7,105.18064498901367,hybrid,mel,8,8,75,1,0.7,1,1
mband_mel_N8_F8_O75_FL0p8,109.8313934803009,hybrid,mel,8,8,75,1,0.8,1,1
mband_mel_N8_F8_O75_FL0p001,108.76898908615112,hybrid,mel,8,8,75,3,0.001,1,1
mband_mel_N8_F8_O75_FL0p3,109.64429688453674,hybrid,mel,8,8,75,3,0.3,1,1
mband_mel_N8_F8_O75_FL0p5,108.25024724006653,hybrid,mel,8,8,75,3,0.5,1,1
mband_mel_N8_F8_O75_FL0p7,107.78048324584961,hybrid,mel,8,8,75,3,0.7,1,1
mband_mel_N8_F8_O75_FL0p8,108.87977504730225,hybrid,mel,8,8,75,3,0.8,1,1
mband_mel_N8_F20_O25_FL0p001,48.66619253158569,hybrid,mel,8,20,25,1,0.001,1,1
mband_mel_N8_F20_O25_FL0p3,49.54530692100525,hybrid,mel,8,20,25,1,0.3,1,1
mband_mel_N8_F20_O25_FL0p5,48.82905650138855,hybrid,mel,8,20,25,1,0.5,1,1
mband_mel_N8_F20_O25_FL0p7,52.195353507995605,hybrid,mel,8,20,25,1,0.7,1,1
mband_mel_N8_F20_O25_FL0p8,49.40971803665161,hybrid,mel,8,20,25,1,0.8,1,1
mband_mel_N8_F20_O25_FL0p001,50.126394510269165,hybrid,mel,8,20,25,3,0.001,1,1
mband_mel_N8_F20_O25_FL0p3,52.70691251754761,hybrid,mel,8,20,25,3,0.3,1,1
mband_mel_N8_F20_O25_FL0p5,48.140806436538696,hybrid,mel,8,20,25,3,0.5,1,1
mband_mel_N8_F20_O25_FL0p7,47.35446572303772,hybrid,mel,8,20,25,3,0.7,1,1
mband_mel_N8_F20_O25_FL0p8,51.63195872306824,hybrid,mel,8,20,25,3,0.8,1,1
mband_mel_N8_F20_O50_FL0p001,55.34817433357239,hybrid,mel,8,20,50,1,0.001,1,1
mband_mel_N8_F20_O50_FL0p3,54.42021179199219,hybrid,mel,8,20,50,1,0.3,1,1
mband_mel_N8_F20_O50_FL0p5,54.651175022125244,hybrid,mel,8,20,50,1,0.5,1,1
mband_mel_N8_F20_O50_FL0p7,55.08434247970581,hybrid,mel,8,20,50,1,0.7,1,1
mband_mel_N8_F20_O50_FL0p8,56.409791231155396,hybrid,mel,8,20,50,1,0.8,1,1
mband_mel_N8_F20_O50_FL0p001,53.4724760055542,hybrid,mel,8,20,50,3,0.001,1,1
mband_mel_N8_F20_O50_FL0p3,56.70006322860718,hybrid,mel,8,20,50,3,0.3,1,1
mband_mel_N8_F20_O50_FL0p5,55.89458084106445,hybrid,mel,8,20,50,3,0.5,1,1
mband_mel_N8_F20_O50_FL0p7,51.6926212310791,hybrid,mel,8,20,50,3,0.7,1,1
mband_mel_N8_F20_O50_FL0p8,52.51329779624939,hybrid,mel,8,20,50,3,0.8,1,1
mband_mel_N8_F20_O75_FL0p001,72.77348732948303,hybrid,mel,8,20,75,1,0.001,1,1
mband_mel_N8_F20_O75_FL0p3,69.39218831062317,hybrid,mel,8,20,75,1,0.3,1,1
mband_mel_N8_F20_O75_FL0p5,70.47071623802185,hybrid,mel,8,20,75,1,0.5,1,1
mband_mel_N8_F20_O75_FL0p7,70.38370871543884,hybrid,mel,8,20,75,1,0.7,1,1
mband_mel_N8_F20_O75_FL0p8,73.84677529335022,hybrid,mel,8,20,75,1,0.8,1,1
mband_mel_N8_F20_O75_FL0p001,68.11895847320557,hybrid,mel,8,20,75,3,0.001,1,1
mband_mel_N8_F20_O75_FL0p3,68.04359602928162,hybrid,mel,8,20,75,3,0.3,1,1
mband_mel_N8_F20_O75_FL0p5,69.7642469406128,hybrid,mel,8,20,75,3,0.5,1,1
mband_mel_N8_F20_O75_FL0p7,71.83110880851746,hybrid,mel,8,20,75,3,0.7,1,1
mband_mel_N8_F20_O75_FL0p8,68.72477793693542,hybrid,mel,8,20,75,3,0.8,1,1
mband_mel_N8_F25_O25_FL0p001,50.22850489616394,hybrid,mel,8,25,25,1,0.001,1,1
mband_mel_N8_F25_O25_FL0p3,48.42732620239258,hybrid,mel,8,25,25,1,0.3,1,1
mband_mel_N8_F25_O25_FL0p5,47.350934982299805,hybrid,mel,8,25,25,1,0.5,1,1
mband_mel_N8_F25_O25_FL0p7,46.38189673423767,hybrid,mel,8,25,25,1,0.7,1,1
mband_mel_N8_F25_O25_FL0p8,47.52646565437317,hybrid,mel,8,25,25,1,0.8,1,1
mband_mel_N8_F25_O25_FL0p001,47.92318677902222,hybrid,mel,8,25,25,3,0.001,1,1
