SNR_dB,Noise_File,Participant,Method,FLOOR,FRMSZ,Nband,AVRGING,Noisefr,VAD,PESQ,STOI,SI_SDR,Weighted_Score,PESQ_improvement,STOI_improvement,SI_SDR_improvement,Status
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,4,1,3,0,1.226806640625,0.7189462780952454,4.67481803894043,0.5321538031101227,0.056345343589782715,-0.007467389106750488,0.13088560104370117,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,4,1,3,1,1.1704049110412598,0.7269662618637085,4.576783657073975,0.5305236220359802,-5.638599395751953e-05,0.0005525946617126465,0.032851219177246094,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,8,1,1,0,1.2288124561309814,0.7169620394706726,4.673120498657227,0.5313622653484344,0.05835115909576416,-0.009451627731323242,0.12918806076049805,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,8,1,1,1,1.1704787015914917,0.727367103099823,4.575653553009033,0.5307314217090606,1.7404556274414062e-05,0.0009534358978271484,0.03172111511230469,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,8,1,3,0,1.228049874305725,0.7190200686454773,4.671447277069092,0.5323150217533111,0.05758857727050781,-0.007393598556518555,0.12751483917236328,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.1,20,8,1,3,1,1.1704905033111572,0.7273716330528259,4.575747966766357,0.5307348668575287,2.9206275939941406e-05,0.0009579658508300781,0.031815528869628906,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,4,1,1,0,1.2221429347991943,0.7207688093185425,4.655772686004639,0.5325986981391907,0.05168163776397705,-0.005644857883453369,0.11184024810791016,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,4,1,1,1,1.221805214881897,0.7205567359924316,4.6490678787231445,0.5324588894844056,0.05134391784667969,-0.005856931209564209,0.10513544082641602,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,4,1,3,0,1.2243924140930176,0.7198227047920227,4.788015365600586,0.5323505938053131,0.05393111705780029,-0.0065909624099731445,0.24408292770385742,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,4,1,3,1,1.160478115081787,0.7234120965003967,4.589940547943115,0.5277538597583771,-0.009983181953430176,-0.003001570701599121,0.04600811004638672,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,8,1,1,0,1.2227877378463745,0.7207604050636292,4.654238700866699,0.532658976316452,0.05232644081115723,-0.005653262138366699,0.1103062629699707,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,8,1,1,1,1.2223951816558838,0.7204529047012329,4.648111343383789,0.5324659705162048,0.051933884620666504,-0.0059607625007629395,0.10417890548706055,Success
-5,Car Noise_60mph,p092,GTCRN+SS,0.3,8,8,1,3,0,1.2261263132095337,0.719878077507019,4.782429218292236,0.5325516700744629,0.055665016174316406,-0.006535589694976807,0.2384967803955078,Success
