Config_ID,Freq_spacing,Nband,FRMSZ_ms,OVLP,Floor,Noisefr,SI_SDR,PESQ,STOI,DNSMOS_mos_ovr
mband_log_N16_F20_O25_FL0p5,log,16,20,25,0.5,1,8.8766,1.7082,0.7416,3.4548
mband_log_N16_F20_O25_FL0p7,log,16,20,25,0.7,1,9.041,1.7134,0.7427,3.3927
mband_log_N16_F20_O25_FL0p8,log,16,20,25,0.8,1,9.0271,1.706,0.7369,3.4264
mband_log_N16_F20_O50_FL0p001,log,16,20,50,0.001,1,9.8131,1.792,0.7362,3.4118
mband_log_N16_F20_O50_FL0p3,log,16,20,50,0.3,1,10.4094,1.8327,0.7445,3.3546
mband_log_N16_F20_O50_FL0p5,log,16,20,50,0.5,1,10.5442,1.8392,0.7424,3.4626
mband_log_N16_F20_O50_FL0p7,log,16,20,50,0.7,1,10.7234,1.8443,0.7437,3.5325
mband_log_N16_F20_O50_FL0p8,log,16,20,50,0.8,1,10.7663,1.867,0.75,3.4681
mband_log_N16_F20_O75_FL0p001,log,16,20,75,0.001,1,10.6894,1.8381,0.7421,3.1809
mband_log_N16_F20_O75_FL0p3,log,16,20,75,0.3,1,11.4225,1.8718,0.747,3.191
mband_log_N16_F20_O75_FL0p5,log,16,20,75,0.5,1,11.6069,1.8819,0.7431,3.1634
mband_log_N16_F20_O75_FL0p7,log,16,20,75,0.7,1,11.7129,1.8923,0.7439,3.1893
mband_log_N16_F20_O75_FL0p8,log,16,20,75,0.8,1,11.5509,1.8798,0.7473,3.2548
mband_log_N16_F25_O25_FL0p001,log,16,25,25,0.001,1,7.8608,1.5972,0.7246,3.5129
mband_log_N16_F25_O25_FL0p3,log,16,25,25,0.3,1,8.1554,1.6337,0.7317,3.5042
mband_log_N16_F25_O25_FL0p5,log,16,25,25,0.5,1,8.2732,1.6426,0.7331,3.484
mband_log_N16_F25_O25_FL0p7,log,16,25,25,0.7,1,8.2897,1.6526,0.7362,3.5093
mband_log_N16_F25_O25_FL0p8,log,16,25,25,0.8,1,8.3897,1.6461,0.7361,3.4062
mband_log_N16_F25_O50_FL0p001,log,16,25,50,0.001,1,9.3818,1.7728,0.7325,3.5514
mband_log_N16_F25_O50_FL0p3,log,16,25,50,0.3,1,9.9958,1.7993,0.7418,3.4186
mband_log_N16_F25_O50_FL0p5,log,16,25,50,0.5,1,10.1034,1.8271,0.7456,3.5595
mband_log_N16_F25_O50_FL0p7,log,16,25,50,0.7,1,10.2504,1.802,0.7397,3.4648
mband_log_N16_F25_O50_FL0p8,log,16,25,50,0.8,1,10.3749,1.7994,0.7455,3.4193
mband_log_N16_F25_O75_FL0p001,log,16,25,75,0.001,1,10.5333,1.8459,0.741,3.2494
mband_log_N16_F25_O75_FL0p3,log,16,25,75,0.3,1,11.0801,1.8573,0.7384,3.1891
mband_log_N16_F25_O75_FL0p5,log,16,25,75,0.5,1,11.4262,1.8824,0.7467,3.2558
mband_log_N16_F25_O75_FL0p7,log,16,25,75,0.7,1,11.4339,1.8932,0.7461,3.2783
mband_log_N16_F25_O75_FL0p8,log,16,25,75,0.8,1,11.6493,1.89,0.7463,3.2742
mband_log_N16_F8_O25_FL0p001,log,16,8,25,0.001,1,9.9173,1.6438,0.7326,3.1499
mband_log_N16_F8_O25_FL0p3,log,16,8,25,0.3,1,10.4152,1.7242,0.7366,3.159
mband_log_N16_F8_O25_FL0p5,log,16,8,25,0.5,1,10.5724,1.7255,0.7439,3.1618
mband_log_N16_F8_O25_FL0p7,log,16,8,25,0.7,1,10.8306,1.7349,0.7471,3.1831
mband_log_N16_F8_O25_FL0p8,log,16,8,25,0.8,1,10.6635,1.7338,0.7461,3.1305
mband_log_N16_F8_O50_FL0p001,log,16,8,50,0.001,1,10.5786,1.7715,0.731,3.2018
mband_log_N16_F8_O50_FL0p3,log,16,8,50,0.3,1,11.2585,1.8461,0.7441,3.2819
mband_log_N16_F8_O50_FL0p5,log,16,8,50,0.5,1,11.225,1.8374,0.7445,3.1483
mband_log_N16_F8_O50_FL0p7,log,16,8,50,0.7,1,11.3762,1.8554,0.7461,3.2004
mband_log_N16_F8_O50_FL0p8,log,16,8,50,0.8,1,11.5203,1.8671,0.7451,3.1775
mband_log_N16_F8_O75_FL0p001,log,16,8,75,0.001,1,11.064,1.8219,0.7363,3.1797
mband_log_N16_F8_O75_FL0p3,log,16,8,75,0.3,1,11.3813,1.856,0.7406,3.1276
mband_log_N16_F8_O75_FL0p5,log,16,8,75,0.5,1,11.6646,1.854,0.7419,3.1556
mband_log_N16_F8_O75_FL0p7,log,16,8,75,0.7,1,12.0466,1.8758,0.7461,3.1512
mband_log_N16_F8_O75_FL0p8,log,16,8,75,0.8,1,11.945,1.8818,0.7495,3.1951
mband_log_N4_F20_O25_FL0p001,log,4,20,25,0.001,1,8.4383,1.6546,0.7265,3.5195
mband_log_N4_F20_O25_FL0p3,log,4,20,25,0.3,1,8.9241,1.6974,0.7343,3.5257
mband_log_N4_F20_O25_FL0p5,log,4,20,25,0.5,1,8.8689,1.6944,0.7349,3.4331
mband_log_N4_F20_O25_FL0p7,log,4,20,25,0.7,1,9.0056,1.7031,0.736,3.4709
mband_log_N4_F20_O25_FL0p8,log,4,20,25,0.8,1,8.9605,1.7035,0.7336,3.4735
mband_log_N4_F20_O50_FL0p001,log,4,20,50,0.001,1,9.8868,1.8007,0.7386,3.4297
mband_log_N4_F20_O50_FL0p3,log,4,20,50,0.3,1,10.346,1.8409,0.7421,3.4362
mband_log_N4_F20_O50_FL0p5,log,4,20,50,0.5,1,10.6921,1.856,0.7477,3.4744
mband_log_N4_F20_O50_FL0p7,log,4,20,50,0.7,1,10.6402,1.8353,0.741,3.4212
mband_log_N4_F20_O50_FL0p8,log,4,20,50,0.8,1,10.4429,1.8482,0.7409,3.3629
mband_log_N4_F20_O75_FL0p001,log,4,20,75,0.001,1,10.5928,1.8565,0.7333,3.1645
mband_log_N4_F20_O75_FL0p3,log,4,20,75,0.3,1,11.2852,1.8779,0.742,3.197
mband_log_N4_F20_O75_FL0p5,log,4,20,75,0.5,1,11.5512,1.9009,0.7536,3.1903
mband_log_N4_F20_O75_FL0p7,log,4,20,75,0.7,1,11.7155,1.9056,0.7534,3.2837
mband_log_N4_F20_O75_FL0p8,log,4,20,75,0.8,1,11.7541,1.8905,0.7488,3.2118
mband_log_N4_F25_O25_FL0p001,log,4,25,25,0.001,1,7.6887,1.5802,0.7233,3.5269
mband_log_N4_F25_O25_FL0p3,log,4,25,25,0.3,1,8.2109,1.6412,0.7362,3.4728
mband_log_N4_F25_O25_FL0p5,log,4,25,25,0.5,1,8.2824,1.6389,0.7346,3.4129
mband_log_N4_F25_O25_FL0p7,log,4,25,25,0.7,1,8.2265,1.6501,0.7305,3.4943
mband_log_N4_F25_O25_FL0p8,log,4,25,25,0.8,1,8.3128,1.6348,0.7321,3.4755
mband_log_N4_F25_O50_FL0p001,log,4,25,50,0.001,1,9.431,1.7473,0.7299,3.4937
mband_log_N4_F25_O50_FL0p3,log,4,25,50,0.3,1,9.9818,1.8001,0.7389,3.5136
mband_log_N4_F25_O50_FL0p5,log,4,25,50,0.5,1,9.8916,1.8047,0.7424,3.4397
mband_log_N4_F25_O50_FL0p7,log,4,25,50,0.7,1,10.3278,1.8217,0.7434,3.4969
mband_log_N4_F25_O50_FL0p8,log,4,25,50,0.8,1,10.2899,1.8232,0.7411,3.3587
mband_log_N4_F25_O75_FL0p001,log,4,25,75,0.001,1,10.3916,1.8309,0.7327,3.2043
mband_log_N4_F25_O75_FL0p3,log,4,25,75,0.3,1,11.1839,1.8711,0.7474,3.1725
mband_log_N4_F25_O75_FL0p5,log,4,25,75,0.5,1,11.3651,1.8641,0.7427,3.3083
mband_log_N4_F25_O75_FL0p7,log,4,25,75,0.7,1,11.5211,1.8763,0.7439,3.2047
mband_log_N4_F25_O75_FL0p8,log,4,25,75,0.8,1,11.4777,1.8789,0.7484,3.1879
mband_log_N4_F8_O25_FL0p001,log,4,8,25,0.001,1,9.8332,1.6378,0.7219,3.1225
mband_log_N4_F8_O25_FL0p3,log,4,8,25,0.3,1,10.4933,1.7175,0.7416,3.1447
mband_log_N4_F8_O25_FL0p5,log,4,8,25,0.5,1,10.5352,1.7301,0.7436,3.2016
mband_log_N4_F8_O25_FL0p7,log,4,8,25,0.7,1,10.764,1.7256,0.7441,3.2093
mband_log_N4_F8_O25_FL0p8,log,4,8,25,0.8,1,10.7315,1.726,0.7411,3.1419
mband_log_N4_F8_O50_FL0p001,log,4,8,50,0.001,1,10.7462,1.7985,0.7318,3.1705
mband_log_N4_F8_O50_FL0p3,log,4,8,50,0.3,1,11.1519,1.8391,0.7398,3.1741
mband_log_N4_F8_O50_FL0p5,log,4,8,50,0.5,1,11.3852,1.8626,0.7467,3.2373
mband_log_N4_F8_O50_FL0p7,log,4,8,50,0.7,1,11.3164,1.8596,0.7406,3.1743
mband_log_N4_F8_O50_FL0p8,log,4,8,50,0.8,1,11.4301,1.8582,0.7439,3.2023
mband_log_N4_F8_O75_FL0p001,log,4,8,75,0.001,1,11.1056,1.8266,0.7338,3.1908
mband_log_N4_F8_O75_FL0p3,log,4,8,75,0.3,1,11.7628,1.8778,0.7431,3.1709
mband_log_N4_F8_O75_FL0p5,log,4,8,75,0.5,1,11.9138,1.8758,0.7467,3.2001
mband_log_N4_F8_O75_FL0p7,log,4,8,75,0.7,1,11.8323,1.8803,0.7448,3.0987
mband_log_N4_F8_O75_FL0p8,log,4,8,75,0.8,1,11.9815,1.8708,0.7518,3.1445
mband_log_N8_F20_O25_FL0p001,log,8,20,25,0.001,1,8.2915,1.645,0.727,3.5098
