config,time_seconds,mode,Freq_spacing,Nband,FRMSZ,OVLP,Noisefr,FLOOR,AVRGING,VAD
mband_mel_N8_F8_O25_FL0p8,1.6312332153320312,hybrid,mel,8,8,25,1,0.8,1,1
mband_mel_N8_F8_O50_FL0p5,1.9077434539794922,hybrid,mel,8,8,50,1,0.5,1,1
mband_mel_N8_F8_O50_FL0p7,1.8913612365722656,hybrid,mel,8,8,50,1,0.7,1,1
mband_mel_N8_F8_O50_FL0p8,1.8945562839508057,hybrid,mel,8,8,50,1,0.8,1,1
mband_mel_N8_F8_O75_FL0p5,2.770386219024658,hybrid,mel,8,8,75,1,0.5,1,1
mband_mel_N8_F8_O75_FL0p7,2.907782793045044,hybrid,mel,8,8,75,1,0.7,1,1
mband_mel_N8_F8_O75_FL0p8,2.8486859798431396,hybrid,mel,8,8,75,1,0.8,1,1
mband_mel_N8_F20_O25_FL0p5,1.3622126579284668,hybrid,mel,8,20,25,1,0.5,1,1
mband_mel_N8_F20_O25_FL0p7,1.3110020160675049,hybrid,mel,8,20,25,1,0.7,1,1
mband_mel_N8_F20_O25_FL0p8,1.2735037803649902,hybrid,mel,8,20,25,1,0.8,1,1
mband_mel_N8_F20_O50_FL0p5,1.4846417903900146,hybrid,mel,8,20,50,1,0.5,1,1
mband_mel_N8_F20_O50_FL0p7,1.5060555934906006,hybrid,mel,8,20,50,1,0.7,1,1
mband_mel_N8_F20_O50_FL0p8,1.389310598373413,hybrid,mel,8,20,50,1,0.8,1,1
mband_mel_N8_F20_O75_FL0p5,1.8195979595184326,hybrid,mel,8,20,75,1,0.5,1,1
mband_mel_N8_F20_O75_FL0p7,1.791306495666504,hybrid,mel,8,20,75,1,0.7,1,1
mband_mel_N8_F20_O75_FL0p8,1.811826467514038,hybrid,mel,8,20,75,1,0.8,1,1
mband_mel_N8_F25_O25_FL0p5,1.1548423767089844,hybrid,mel,8,25,25,1,0.5,1,1
mband_mel_N8_F25_O25_FL0p7,1.235334873199463,hybrid,mel,8,25,25,1,0.7,1,1
mband_mel_N8_F25_O25_FL0p8,1.2746257781982422,hybrid,mel,8,25,25,1,0.8,1,1
mband_mel_N8_F25_O50_FL0p5,1.335724115371704,hybrid,mel,8,25,50,1,0.5,1,1
mband_mel_N8_F25_O50_FL0p7,1.3121638298034668,hybrid,mel,8,25,50,1,0.7,1,1
mband_mel_N8_F25_O50_FL0p8,1.332362413406372,hybrid,mel,8,25,50,1,0.8,1,1
mband_mel_N8_F25_O75_FL0p5,1.711885690689087,hybrid,mel,8,25,75,1,0.5,1,1
mband_mel_N8_F25_O75_FL0p7,1.6658141613006592,hybrid,mel,8,25,75,1,0.7,1,1
mband_mel_N8_F25_O75_FL0p8,1.6695120334625244,hybrid,mel,8,25,75,1,0.8,1,1
mband_mel_N16_F8_O25_FL0p5,1.8957383632659912,hybrid,mel,16,8,25,1,0.5,1,1
mband_mel_N16_F8_O25_FL0p7,1.8847827911376953,hybrid,mel,16,8,25,1,0.7,1,1
mband_mel_N16_F8_O25_FL0p8,1.8875141143798828,hybrid,mel,16,8,25,1,0.8,1,1
mband_mel_N16_F8_O50_FL0p5,2.242032766342163,hybrid,mel,16,8,50,1,0.5,1,1
mband_mel_N16_F8_O50_FL0p7,2.301032304763794,hybrid,mel,16,8,50,1,0.7,1,1
mband_mel_N16_F8_O50_FL0p8,2.291461706161499,hybrid,mel,16,8,50,1,0.8,1,1
mband_mel_N16_F8_O75_FL0p5,3.446307420730591,hybrid,mel,16,8,75,1,0.5,1,1
mband_mel_N16_F8_O75_FL0p7,3.5714669227600098,hybrid,mel,16,8,75,1,0.7,1,1
mband_mel_N16_F8_O75_FL0p8,3.5853018760681152,hybrid,mel,16,8,75,1,0.8,1,1
mband_mel_N16_F20_O25_FL0p5,1.3266594409942627,hybrid,mel,16,20,25,1,0.5,1,1
mband_mel_N16_F20_O25_FL0p7,1.3389637470245361,hybrid,mel,16,20,25,1,0.7,1,1
mband_mel_N16_F20_O25_FL0p8,1.3903074264526367,hybrid,mel,16,20,25,1,0.8,1,1
mband_mel_N16_F20_O50_FL0p5,1.6333003044128418,hybrid,mel,16,20,50,1,0.5,1,1
mband_mel_N16_F20_O50_FL0p7,1.5593173503875732,hybrid,mel,16,20,50,1,0.7,1,1
mband_mel_N16_F20_O50_FL0p8,1.5904645919799805,hybrid,mel,16,20,50,1,0.8,1,1
mband_mel_N16_F20_O75_FL0p5,2.139307975769043,hybrid,mel,16,20,75,1,0.5,1,1
mband_mel_N16_F20_O75_FL0p7,2.0847723484039307,hybrid,mel,16,20,75,1,0.7,1,1
mband_mel_N16_F20_O75_FL0p8,2.157066822052002,hybrid,mel,16,20,75,1,0.8,1,1
mband_mel_N16_F25_O25_FL0p5,1.2764270305633545,hybrid,mel,16,25,25,1,0.5,1,1
mband_mel_N16_F25_O25_FL0p7,1.3366107940673828,hybrid,mel,16,25,25,1,0.7,1,1
mband_mel_N16_F25_O25_FL0p8,1.2871489524841309,hybrid,mel,16,25,25,1,0.8,1,1
mband_mel_N16_F25_O50_FL0p5,1.5110797882080078,hybrid,mel,16,25,50,1,0.5,1,1
